OldPath,NewPath,DriverName
\\DSI-DH01-DC-004\HP LaserJet M607,10.150.1.249,HP LaserJet M507 PCL-6 (V4)
\\DSI-DH01-DC-004\Atlanta Printer #2,10.204.1.21,HP LaserJet 6L
